bookid,title,authors,language,genre,prequel,sequel,age group
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,english,fiction,,2,teen
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,english,fiction,1,3,teen
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,english,fiction,2,4,teen
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,english,fiction,3,,teen
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,english,fiction,,,teen
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,english,fiction,,,teen
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,english,fiction,,,teen
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,english,fiction,,,adult
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,english,fiction,,,adult
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,english,fiction,,11,adult
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #2),Douglas Adams/Stephen Fry,english,fiction,10,,adult
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,english,fiction,,,adult
13,A Short History of Nearly Everything,Bill Bryson,french,history,,,adult
14,Bill Bryson's African Diary,Bill Bryson,english,documentary,,,adult
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,english,documentary,,,adult
16,In a Sunburned Country,Bill Bryson,english,documentary,,,teen
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,english,non fiction,,,adult
18,The Lost Continent: Travels in Small Town America,Bill Bryson,english,documentary,,,adult
19,Neither Here nor There: Travels in Europe,Bill Bryson,english,guide,,,adult
20,Notes from a Small Island,Bill Bryson,english,documentary,,,adult
21,The Mother Tongue: English and How It Got That Way,Bill Bryson,english,documentary,,,teen
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,english,fantasy,,,teen
23,The Lord of the Rings (The Lord of the Rings  #1),J.R.R. Tolkien,english,fantasy,,24,teen
24,The Fellowship of the Ring (The Lord of the Rings  #2),J.R.R. Tolkien,english,fantasy,23,25,teen
25,The Lord of the Rings (The Lord of the Rings  #3),J.R.R. Tolkien/Alan  Lee,english,fantasy,24,26,teen
26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,english,fantasy,25,,teen
27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,english,fantasy,,,teen
28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson,english,reference,,,adult
29,Hatchet (Brian's Saga  #1),Gary Paulsen,english,fiction,,,teen
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,english,fiction,,,teen
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,english,documentary,,,teen
32,Molly Hatchet - 5 of the Best,Molly Hatchet,english,documentary,,,child
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,english,documentary,,,adult
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly,english,history,,,child
35,Changeling (Changeling  #1),Delia Sherman,english,history,,36,child
36,The Changeling Sea,Patricia A. McKillip,english,fiction,35,37,child
37,The Changeling,Zilpha Keatley Snyder,english,fiction,36,38,child
38,The Changeling,Kate Horsley,english,fiction,37,39,child
39,The Changeling (Daughters of England  #15),Philippa Carr,english,fiction,38,,child
40,The Known World 1,Edward P. Jones,english,fiction,,41,teen
41,The Known World 2,Edward P. Jones/Kevin R. Free,english,fiction,40,42,teen
42,The Known World 3,Edward P. Jones,english,fiction,41,,teen
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,english,history,,,adult
44,Artesia: Adventures in the Known World,Mark Smylie,english,documentary,,,teen
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,english,history,,,adult
46,Uncommon Carriers,John McPhee,english,history,,,adult
47,Heirs of General Practice,John McPhee,english,history,,,child
48,The Control of Nature,John McPhee,english,documentary,,,teen
49,Annals of the Former World,John McPhee,english,documentary,,,adult
50,Coming Into the Country,John McPhee,english,history,,,adult
51,La Place de la Concorde Suisse,John McPhee,french,documentary,,,adult
52,Giving Good Weight,John McPhee,french,history,,,adult
53,Rising from the Plains,John McPhee,french,documentary,,,adult
54,The Heidi Chronicles,Wendy Wasserstein,spanish,history,,55,adult
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,spanish,history,54,,adult
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,english,documentary,,,adult
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,english,documentary,,,teen
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,english,documentary,,,child
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,english,documentary,,,adult
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,spanish,fiction,,,adult
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,english,reference,,,adult
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,english,fiction,,,teen
63,What to Expect the First Year (What to Expect),Heidi Murkoff,english,reference,,,adult
64,The Player's Handbook,Heidi Fleiss/Libby Keatinge,spanish,reference,,,adult
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,spanish,reference,,,adult
